id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
861804993803642448,Nice cozy home in an amazing location!,147699618,Eric,,Hennepin,44.87542,-93.26679,Entire home/apt,182,2,92,2025-06-16,3.55,1,228,37,
862225445068882100,Vacation House,222111136,Yas,,Sherburne,45.39292,-93.84665,Private room,52,3,7,2024-09-23,0.32,1,342,3,
862609025419147049,"Game Room, Play Room, In-Law Suite, Sleeps 18",205326739,Lynnell,,Hennepin,45.16002,-93.52322,Entire home/apt,416,4,30,2025-06-16,1.35,4,270,23,
862947448197859749,2B-2B-1LVL-Midterm Stays-Parks-Pets Welcome,153943442,Ellie,,Sherburne,45.3026681,-93.5739955,Entire home/apt,225,4,8,2025-06-09,0.34,4,69,5,
863119031058363004,Beautiful Newly Renovated 3 BR Mille Lacs Lakeside Cottage,508722425,Izatys Cottage,,Mille Lacs,46.13326,-93.58688,Entire home/apt,283,1,9,2025-03-16,0.38,1,342,5,
863128683439729779,Entire Home-Nearby to parks and North Loop MPLS,90527557,Taylor,,Hennepin,45.01757,-93.33604,Entire home/apt,,4,20,2024-09-01,0.84,2,0,6,
863475440947965241,Minimalist 2BR in Cozy Neighbrhd,42495336,Lisa,,Hennepin,44.95873326459216,-93.2351388394243,Entire home/apt,,30,1,2024-12-22,0.16,1,77,1,
863926550747752279,River Rock Retreat in Historic Small Building,436414539,,,Hennepin,44.94269712820207,-93.27874909769213,Entire home/apt,130,30,3,2024-01-27,0.12,3,298,0,
864435865657404954,Lake Harriet Shared Unit,449591231,Andrea,,Hennepin,44.92771,-93.31071,Shared room,65,30,1,2024-08-31,0.10,4,264,1,
864595580170074890,Prox31 | Modern New Build | Long Stays | Walk2Lake,407197294,Ryan,,Hennepin,44.9473,-93.32809,Entire home/apt,179,30,6,2025-01-02,0.27,17,331,3,
864700367223554210,Tranquil Retreat: Home Theater & Ping-Pong Haven,509050485,Shengying,,Hennepin,45.01024,-93.49617,Private room,86,2,48,2025-05-27,1.80,2,224,17,
865140457599274838,Downtown Icon!  MN Artists Inspired Apt,57655643,Christopher John,,Hennepin,44.97131948039229,-93.2648840546608,Entire home/apt,82,2,118,2025-06-07,4.73,20,119,56,LIC-120999
865405256574065122,Urban and Convenient Retreat,84611241,Erica,,Hennepin,44.99882,-93.34148,Entire home/apt,117,2,29,2025-06-15,1.18,1,155,8,
865922566291035748,Jungle Townhome- Walkable to Grand/Summit/Selby,76472049,Daniel,,Ramsey,44.94356,-93.13387,Entire home/apt,172,1,93,2025-06-09,3.88,1,33,35,
866170865053732850,Cozy red cabin on Briggs Lake Chain w/ boat house,509327488,Kara,,Sherburne,45.5080835,-93.9358693,Entire home/apt,198,2,54,2025-05-12,2.14,1,287,23,
866575104503097334,Classic Majesty in S MPLS,4327101,Julia And Daniel,,Hennepin,44.93042,-93.26502,Entire home/apt,399,1,4,2024-09-02,0.28,15,309,2,Exempt
866654883378309348,Cave Den Studio in S Minneapolis!,4327101,Julia And Daniel,,Hennepin,44.93042,-93.26502,Entire home/apt,60,1,63,2025-06-07,2.39,15,314,35,Exempt
866700455002679029,Sky Apt in Majestic MPLS Duplex,4327101,Julia And Daniel,,Hennepin,44.93041,-93.26502,Entire home/apt,125,1,29,2025-05-19,1.12,15,355,14,Exempt
866812716674778008,Healing / Spiritual Oasis Br 2,481264635,Ken,,Wright,45.282054,-93.62636499999999,Private room,118,1,0,,,3,365,0,
866821510986184847,Spiritual / Healing Oasis Br # 3,481264635,Ken,,Wright,45.282054,-93.62636499999999,Private room,157,1,3,2024-06-24,0.23,3,365,2,
867320718093256355,"""Luxe Leisure"" at Logan by Roxy Rentals",400912599,Janine,,Hennepin,44.91199049999999,-93.30395349999999,Entire home/apt,199,2,66,2025-06-15,2.48,8,310,32,STR-392533
867339368686859260,Uptown Bachelor 2,82392155,Marabelle,,Hennepin,44.9550034,-93.28960119999999,Entire home/apt,72,4,55,2025-05-20,2.09,16,303,25,STR-134415
867412529198382189,Ramsey Lakeside Retreat,269624226,Kyle,,Wright,45.212446,-93.998669,Entire home/apt,284,1,25,2025-04-06,1.02,1,299,10,
867501854678675268,Riverfront Manor,270877038,Jay,,Dakota,44.84711,-93.01865,Entire home/apt,154,30,28,2025-06-14,2.50,1,113,28,
867546452592855983,Your Twin Cities Memorable Stay,175165908,Amir,,Ramsey,44.9064658,-93.1795965,Entire home/apt,301,2,96,2025-05-04,3.77,1,270,32,20220001500
868120759458937629,James Mulvey Farmhouse (Lower house),25599298,Nathan,,Washington,45.0487677,-92.8139696,Private room,287,2,13,2024-10-31,0.51,6,288,1,
868187329089961961,The Treehouse,4314535,Arielle,,Hennepin,45.00049,-93.25886,Entire home/apt,154,3,67,2025-06-15,2.59,2,324,32,STR-407632
868825958783564051,Isabelle Creek Haven - Ultimate Group Getaway,386890937,Mark,,Pierce,44.6158831,-92.4454899,Entire home/apt,238,3,19,2025-05-18,0.78,2,322,10,
869089336503625616,"Comfy 3bd, 2bth, 2 story Townhouse",483442138,Jared,,Washington,45.26774,-92.97896,Entire home/apt,219,2,2,2025-01-01,0.08,3,47,1,
869660700653348889,Prime Location! Comfortable & Pet-friendly Unit!,501999514,RoomPicks,,Hennepin,44.97711,-93.27355,Hotel room,50000,1,27,2025-04-28,1.07,32,324,9,Exempt
870846933469051847,Birch lake retreat -suitable for large groups,216560210,Laura,,Sherburne,45.38278,-93.66986,Entire home/apt,508,2,29,2024-09-08,1.15,1,52,13,
871000611067701277,Large Private Lakefront Home  *Dogs Ok,510333860,The Retreats,,Washington,45.25355,-93.00106,Entire home/apt,491,2,36,2025-06-15,1.41,1,112,12,
871158777033110255,Private Beach-Family Friendly-Cozy Cabin,202348152,,,Mille Lacs,46.19118,-93.75791,Entire home/apt,237,3,50,2024-10-20,2.05,1,193,18,
871185965890606105,Stylish 2BR Loft in Heart of Saint Paul,155842557,Katlyn,,Ramsey,44.9546853,-93.1376616,Entire home/apt,90,1,51,2025-06-11,2.46,1,187,25,
