iter	Logloss
0	0.6431864678
1	0.5951959428
2	0.561110872
3	0.5292326251
4	0.5083895345
5	0.4872094461
6	0.469673793
7	0.458873262
8	0.4442772061
9	0.4352269692
10	0.4261009104
11	0.4203748642
12	0.4141321846
13	0.4072252494
14	0.4007888499
15	0.3961853032
16	0.3863371093
17	0.3781018453
18	0.3748564954
19	0.369897313
20	0.3658569527
21	0.3616841131
22	0.359597462
23	0.3563752619
24	0.3533187265
25	0.3497035797
26	0.3470866548
27	0.3450173998
28	0.3431697681
29	0.3405714916
30	0.3365342335
31	0.3312297168
32	0.3291120268
33	0.3266505486
34	0.3244315476
35	0.3210380106
36	0.3180261004
37	0.3164668539
38	0.3144020022
39	0.3123260171
40	0.3101164821
41	0.3080309512
42	0.3073450002
43	0.3045838562
44	0.3026025053
45	0.2993523758
46	0.2982606747
47	0.2956981276
48	0.2931092375
49	0.2915033932
50	0.2892427546
51	0.2867739784
52	0.2854211241
53	0.2831450275
54	0.2812740527
55	0.2803085844
56	0.2785411746
57	0.2767357954
58	0.2747815257
59	0.2732676936
60	0.2721703907
61	0.2708652602
62	0.2693930095
63	0.2673024339
64	0.2652964224
65	0.2621392658
66	0.2605990998
67	0.2598983062
68	0.2583014526
69	0.2569837659
70	0.2551865479
71	0.2531592685
72	0.252155
73	0.2498160959
74	0.248686764
75	0.2474923138
76	0.2470708606
77	0.2457409983
78	0.2439871802
79	0.2427235812
80	0.2417834275
81	0.2400626928
82	0.238738148
83	0.2374637306
84	0.2362287869
85	0.2343010246
86	0.2325393099
87	0.2312579507
88	0.229932403
89	0.2291657621
90	0.22808696
91	0.2266255471
92	0.2244517034
93	0.2225721053
94	0.2203561804
95	0.2190212526
96	0.2174371716
97	0.2163327916
98	0.2151949671
99	0.2141472977
100	0.2128309494
101	0.2116750662
102	0.2100645616
103	0.2093533354
104	0.2088565016
105	0.2073876558
106	0.2064862853
107	0.2055587111
108	0.2044292051
109	0.2030774795
110	0.2021047902
111	0.200657233
112	0.1997514917
113	0.1983590668
114	0.1976752186
115	0.1970875846
116	0.1957357733
117	0.1942011756
118	0.1932478613
119	0.1915181014
120	0.1899231664
121	0.1896485539
122	0.1884174117
123	0.1866501706
124	0.1854058431
125	0.1841642366
126	0.1825682685
127	0.1817196531
128	0.1804377792
129	0.1797743265
130	0.1788252465
131	0.1777845972
132	0.1768308674
133	0.1764150532
134	0.17533548
135	0.1741322923
136	0.1729939941
137	0.1720588067
138	0.1709790215
139	0.1706649859
140	0.1701914612
141	0.1692498462
142	0.1685436987
143	0.1678154243
144	0.1667741986
145	0.1655395244
146	0.1654161386
147	0.1651861403
148	0.1650513153
149	0.1644694591
150	0.163661024
151	0.1629624916
152	0.1625885734
153	0.1615519248
154	0.1609527917
155	0.1600018817
156	0.1588592205
157	0.1584215307
158	0.1577248071
159	0.1567499311
160	0.1559631588
161	0.1557128553
162	0.1552817271
163	0.1547715245
164	0.1539596718
165	0.1532138384
166	0.1527642644
167	0.1522349309
168	0.1517847119
169	0.1511565875
170	0.1500113391
171	0.1490749979
172	0.1477163678
173	0.1468427864
174	0.1456174674
175	0.1450001952
176	0.1442442665
177	0.1435689836
178	0.1430474141
179	0.1421824972
180	0.1415024668
181	0.1414492175
182	0.1406946035
183	0.140671096
184	0.1397975255
185	0.1388605147
186	0.1383955113
187	0.1377725623
188	0.1369286264
189	0.1361587511
190	0.135274542
191	0.134684537
192	0.133825741
193	0.1332116571
194	0.1323602921
195	0.1315445359
196	0.130675087
197	0.1300909301
198	0.1292567827
199	0.128982129
200	0.1283567922
201	0.1279394624
202	0.1270849988
203	0.1262640948
204	0.1259742975
205	0.1252999447
206	0.1247518946
207	0.1242959856
208	0.1236179148
209	0.1229520831
210	0.1225317357
211	0.1223065553
212	0.1217607486
213	0.121073582
214	0.1207856713
215	0.1200613872
216	0.1198737552
217	0.1194793674
218	0.1190811608
219	0.118692765
220	0.1183908994
221	0.1179986141
222	0.1175130211
223	0.1167246277
224	0.1162562953
225	0.1159902756
226	0.1156652439
227	0.1154759477
228	0.1154349239
229	0.1149743525
230	0.1147517024
231	0.114475211
232	0.1141608983
233	0.113514027
234	0.1134129476
235	0.1130073352
236	0.1126533077
237	0.1123380208
238	0.1120602633
239	0.1120437909
240	0.1115893617
241	0.111190306
242	0.1107630741
243	0.1100014831
244	0.1094104281
245	0.1089886156
246	0.1082363324
247	0.1076288828
248	0.1072563667
249	0.1067361764
250	0.1062227433
251	0.105625539
252	0.1051949111
253	0.1044183053
254	0.1039744796
255	0.1035792568
256	0.1031581801
257	0.1029279381
258	0.1023935631
259	0.1018569442
260	0.101170565
261	0.1005749923
262	0.099624975
263	0.09880224784
264	0.09835532543
265	0.09791058544
266	0.09765229532
267	0.09691587768
268	0.09616452476
269	0.09611218338
270	0.09597958734
271	0.09577000731
272	0.09512513098
273	0.09456712949
274	0.0939913181
275	0.09378193116
276	0.09336218482
277	0.09330803462
278	0.09306017543
279	0.09269329238
280	0.09249871912
281	0.09210177975
282	0.09185780355
283	0.09145581655
284	0.09099674811
285	0.09055545328
286	0.09025364493
287	0.08985313785
288	0.08951969296
289	0.08922132989
290	0.08889225342
291	0.08847176436
292	0.0883056239
293	0.08797316563
294	0.08772918221
295	0.08740795592
296	0.08704719273
297	0.08667344455
298	0.08640756062
299	0.0860731577
300	0.08591754904
301	0.08557586101
302	0.08526401466
303	0.08493425174
304	0.08467338061
305	0.08422480748
306	0.0840792297
307	0.08403248633
308	0.08378508637
309	0.08365435016
310	0.08324451295
311	0.08292000486
312	0.08248763978
313	0.08213040788
314	0.08187715962
315	0.08160757318
316	0.08116900045
317	0.08071077565
318	0.08042518218
319	0.0801941609
320	0.07994703182
321	0.0799186555
322	0.07943285591
323	0.07927414445
324	0.0790984156
325	0.07860406452
326	0.07822948944
327	0.07797865695
328	0.07749922758
329	0.07699990035
330	0.07663388162
331	0.0763993356
332	0.07614309642
333	0.07603208613
334	0.07576884921
335	0.07572809715
336	0.07568414145
337	0.07566708278
338	0.07563014854
339	0.07552452202
340	0.07538590782
341	0.07510317412
342	0.07494772286
343	0.0749263888
344	0.07452681135
345	0.07421506511
346	0.07397185396
347	0.07390244501
348	0.07369092017
349	0.07339521745
350	0.0733689502
351	0.07304360507
352	0.07289450966
353	0.07266173674
354	0.07264097459
355	0.0721611012
356	0.07200670155
357	0.07187344882
358	0.07142302485
359	0.07094317999
360	0.07094086356
361	0.07072066645
362	0.07056690977
363	0.07050825442
364	0.07002728721
365	0.06964604166
366	0.06938228295
367	0.06924882349
368	0.06882284988
369	0.06853644871
370	0.06837307495
371	0.06823136498
372	0.06808346356
373	0.06795550205
374	0.06786880743
375	0.06773668494
376	0.06771818205
377	0.0675761933
378	0.06740811601
379	0.06739269457
380	0.06712946414
381	0.06711264855
382	0.06704845328
383	0.06679024958
384	0.06670376931
385	0.06663981003
386	0.06638823392
387	0.06629161502
388	0.06609796399
389	0.06594384968
390	0.06577907549
391	0.06559479026
392	0.06554309946
393	0.06537558712
394	0.06501681885
395	0.0647215951
396	0.0645678446
397	0.06422508485
398	0.06416598726
399	0.06385521341
400	0.06362191133
401	0.06342204022
402	0.06338926698
403	0.06334095076
404	0.06323667552
405	0.06315417666
406	0.06271665613
407	0.0625354531
408	0.06238751595
409	0.06223084213
410	0.06204775106
411	0.06184485585
412	0.06179631085
413	0.06163838664
414	0.06149195805
415	0.06135378008
416	0.06124332059
417	0.06099933073
418	0.06076539242
419	0.06060001052
420	0.06050823262
421	0.0603968437
422	0.06018995187
423	0.06016541484
